name,price,old_price,rating,reviews,link,page,discount_pct,discount_amount,discount_pct_calc,value_score,brand,price_range,discount_range
Qasa 2L Litres 500W Blender Grinder Qbl 20L40 Eco,26600.0,40500.0,4 out of 5,4 out of 5(42),https://www.jumia.com.ng/qasa-2l-litres-500w-blender-grinder-qbl-20l40-eco-411766621.html,1,,13900.0,34.32,,Qasa,₦25k-50k,
Timbutus Portable Cordless Vacuum Cleaner For Car Home 120W,8742.0,22350.0,3.5 out of 5,3.5 out of 5(15),https://www.jumia.com.ng/timbutus-portable-cordless-vacuum-cleaner-for-car-home-120w-413746125.html,1,,13608.0,60.89,,Timbutus,₦0-10k,
Generic 10Pc Super Active Cockroach Insect Killer Repellant,2840.0,2990.0,5 out of 5,5 out of 5(4),https://www.jumia.com.ng/generic-10pc-super-active-cockroach-insect-killer-repellant-418684276.html,1,,150.0,5.02,,Generic,₦0-10k,
Generic Usb Folding Handheld Indoor Outdoor Mosquito Swatters,9403.0,19370.0,3.7 out of 5,3.7 out of 5(15),https://www.jumia.com.ng/generic-usb-folding-handheld-indoor-outdoor-mosquito-swatters-418180568.html,1,,9967.0,51.46,,Generic,₦0-10k,
Teknocool Cordless Electric Kettle Jug Free Gift Inside,7990.0,55000.0,3.7 out of 5,3.7 out of 5(61),https://www.jumia.com.ng/teknocool-cordless-electric-kettle-jug-free-gift-inside-388958106.html,1,,47010.0,85.47,,Teknocool,₦0-10k,
Generic Rechargeable Electric Shock Mosquito Killer Lamp,11352.0,11950.0,4.2 out of 5,4.2 out of 5(5),https://www.jumia.com.ng/generic-rechargeable-electric-shock-mosquito-killer-lamp-418572920.html,1,,598.0,5.0,,Generic,₦10k-25k,
Syinix Swallow Maker Fully Automatic Fufuebayam Pounder,112942.0,175299.0,4.4 out of 5,4.4 out of 5(143),https://www.jumia.com.ng/syinix-swallow-maker-fully-automatic-fufuebayam-pounder-288550293.html,1,,62357.0,35.57,,Syinix,₦100k-200k,
Generic Stainless Steel Whistling Kettlegass Stove Free Brush,,,4.4 out of 5,4.4 out of 5(8),https://www.jumia.com.ng/generic-stainless-steel-whistling-kettlegass-stove-free-brush-336457569.html,1,,,,,Generic,,
Generic Rechargeable Electric Shock Mosquito Killing Lamp Household Portable,8925.0,22350.0,4.7 out of 5,4.7 out of 5(3),https://www.jumia.com.ng/generic-rechargeable-electric-shock-mosquito-killing-lamp-household-portable-419096858.html,1,,13425.0,60.07,,Generic,₦0-10k,
Generic Intelligent Rechargeable Mosquito Swatter,7741.0,18041.0,3.6 out of 5,3.6 out of 5(19),https://www.jumia.com.ng/generic-intelligent-rechargeable-mosquito-swatter-408161111.html,1,,10300.0,57.09,,Generic,₦0-10k,
Addigoes 2 In 1 Electric Mosquito Swatter Lamp Rechargeable Insect Repellent With Triple Safety Mesh Led Indicator Anti Shock Design For Night Use,9998.0,21411.0,3.7 out of 5,3.7 out of 5(25),https://www.jumia.com.ng/addigoes-2-in-1-electric-mosquito-swatter-lamp-rechargeable-insect-repellent-with-triple-safety-mesh-led-indicator-anti-shock-design-for-night-use-403884289.html,2,,11413.0,53.3,,Addigoes,₦0-10k,
Generic Lm Multifunctional And Portable Small Electric Mixer,2995.0,8225.0,1.7 out of 5,1.7 out of 5(3),https://www.jumia.com.ng/generic-lm-multifunctional-and-portable-small-electric-mixer-418655088.html,2,,5230.0,63.59,,Generic,₦0-10k,
Generic Powerful Fast Heating Electric Jug Kettle 2.0L,9025.0,25000.0,4.3 out of 5,4.3 out of 5(3),https://www.jumia.com.ng/generic-powerful-fast-heating-electric-jug-kettle-2.0l-263075540.html,2,,15975.0,63.9,,Generic,₦0-10k,
Generic Rechargeable Cordless Wet And Dry Vacuum Cleaner,23550.0,32012.0,4.2 out of 5,4.2 out of 5(112),https://www.jumia.com.ng/generic-rechargeable-cordless-wet-and-dry-vacuum-cleaner-150467788.html,2,,8462.0,26.43,,Generic,₦10k-25k,
Qasa Blender Power Efficient 350W Qbl 18L40,28500.0,38000.0,4.4 out of 5,4.4 out of 5(13),https://www.jumia.com.ng/qasa-blender-power-efficient-350w-qbl-18l40-401710809.html,2,,9500.0,25.0,,Qasa,₦25k-50k,
Nine 1.8L Electric Kettle Sh 03,12824.0,13499.0,4.3 out of 5,4.3 out of 5(88),https://www.jumia.com.ng/nine-1.8l-electric-kettle-sh-03-279926314.html,2,,675.0,5.0,,Nine,₦10k-25k,
Electric Mosquito Insect Killer Range Lamp 6W Taigexin,14900.0,35900.0,3.6 out of 5,3.6 out of 5(16),https://www.jumia.com.ng/electric-mosquito-insect-killer-range-lamp-6w-taigexin-mpg11183923.html,2,,21000.0,58.5,,Taigexin,₦10k-25k,
Silver Crest 10000 Watts Multifunctional Commercial Blender With Dry Mill,28880.0,45000.0,2.5 out of 5,2.5 out of 5(2),https://www.jumia.com.ng/silver-crest-10000-watts-multifunctional-commercial-blender-with-dry-mill-67984734.html,2,,16120.0,35.82,,SILVER,₦25k-50k,
Addigoes 5L Yam Pounder 3 Speed 500W Electric Meat Grinder Household Meat Grinder Electric Food Chopper Multi Function Food Processor Meat Grinder With Handle To Meet The Needs Of Familyparty And Other Occasions,36958.0,94272.0,4.5 out of 5,4.5 out of 5(4),https://www.jumia.com.ng/addigoes-5l-yam-pounder-3-speed-500w-electric-meat-grinder-household-meat-grinder-electric-food-chopper-multi-function-food-processor-meat-grinder-with-handle-to-meet-the-needs-of-familyparty-and-other-occasions-418511325.html,2,,57314.0,60.8,,Addigoes,₦25k-50k,
