name,price,old_price,discount,rating,reviews,link,page
N/A,"₦ 17,640","₦ 58,800",N/A,N/A,N/A,https://www.jumia.com.ng/generic-3-in-1-type-c-rechargeable-electric-blendermixerfood-choppergrinder-milky-color2304-stainless-steel-tritan-bpa-free-beaters-for-whipping-eggscreamgrind-spicesmixing-baby-foodportable-kitchen-helper-for-baking-cooking-gifts-for-wife-418865322.html,2
N/A,"₦ 4,559","₦ 6,499",N/A,3.5 out of 5,3.5 out of 5(17),https://www.jumia.com.ng/deadbug-bedbug-magic-powder-no-chemical-all-natural-10g-x-3-216668048.html,2
N/A,"₦ 8,550","₦ 15,000",N/A,5 out of 5,5 out of 5(1),https://www.jumia.com.ng/fast-heating-electric-jug-kettle-generic-mpg9589759.html,3
N/A,"₦ 155,999","₦ 160,000",N/A,4 out of 5,4 out of 5(1),https://www.jumia.com.ng/syinix-5l-stainless-electric-yam-pounding-machine-cooker-pounder-216264826.html,3
N/A,"₦ 9,024","₦ 11,499",N/A,3.8 out of 5,3.8 out of 5(12),https://www.jumia.com.ng/deadbug-organic-no-chemical-bedbug-killer-2-bottles-264007385.html,3
N/A,"₦ 2,185","₦ 10,900",N/A,4.4 out of 5,4.4 out of 5(7),https://www.jumia.com.ng/two-2-flexible-usb-led-lights-for-computers-keyboards-generic-mpg9596932.html,3
N/A,"₦ 11,500","₦ 12,599",N/A,5 out of 5,5 out of 5(1),https://www.jumia.com.ng/generic-quality-rechargeable-electric-mosquito-killer-bat-swatter-262921684.html,3
N/A,"₦ 8,450","₦ 18,790",N/A,4.2 out of 5,4.2 out of 5(120),https://www.jumia.com.ng/world-most-fastest-hot-water-heater-kettle-itel-mpg3885250.html,3
N/A,"₦ 54,000","₦ 65,000",N/A,N/A,N/A,https://www.jumia.com.ng/legacy-8.0litres-yam-pounder-food-processor-2800-104756228.html,3
N/A,"₦ 7,410","₦ 7,800",N/A,N/A,N/A,https://www.jumia.com.ng/generic-rechargeable-usb-powered-mosquito-repellant-418541676.html,3
N/A,"₦ 11,040","₦ 11,500",N/A,2 out of 5,2 out of 5(4),https://www.jumia.com.ng/generic-super-foldable-collapsible-mini-silicone-electric-kettle-401966340.html,3
N/A,"₦ 15,900 - ₦ 19,855","₦ 15,900 - ₦ 20,900",N/A,N/A,N/A,https://www.jumia.com.ng/generic-stainless-steel-quality-kettlegass-stove-free-brush-358010758.html,3
N/A,"₦ 54,000","₦ 55,000",N/A,4 out of 5,4 out of 5(4),https://www.jumia.com.ng/food-processor-and-yam-pounder-1000w-century-mpg1238372.html,3
N/A,"₦ 15,900 - ₦ 19,949","₦ 15,900 - ₦ 20,999",N/A,N/A,N/A,https://www.jumia.com.ng/generic-stainless-steel-quality-kettlegass-stove-free-brush-336465019.html,3
N/A,"₦ 17,100","₦ 18,000",N/A,4.5 out of 5,4.5 out of 5(2),https://www.jumia.com.ng/generic-stainless-steel-boiling-water-kettle-for-gas-stove-4-litres-407383855.html,3
N/A,"₦ 9,310","₦ 9,800",N/A,3 out of 5,3 out of 5(2),https://www.jumia.com.ng/tower-aluminium-kettle-3-litre-407234871.html,3
N/A,"₦ 124,999","₦ 250,000",N/A,4.8 out of 5,4.8 out of 5(5),https://www.jumia.com.ng/1000w-home-solar-lighting-system-for-tv-laptop-and-lights-souer-mpg7423958.html,3
N/A,"₦ 16,055","₦ 16,900",N/A,N/A,N/A,https://www.jumia.com.ng/generic-4-litres-whistling-kettle-and-1-free-dish-washing-liquid-soap-brush-367415913.html,3
N/A,"₦ 72,000",N/A,N/A,3.5 out of 5,3.5 out of 5(2),https://www.jumia.com.ng/generic-12-litre-multifunction-fufu-yam-pounderfood-processor-80677874.html,3
N/A,"₦ 41,705","₦ 43,900",N/A,5 out of 5,5 out of 5(2),https://www.jumia.com.ng/electric-kettle-5.2-litres-master-chef-mpg2945160.html,3
N/A,"₦ 37,999",N/A,N/A,4.2 out of 5,4.2 out of 5(11),https://www.jumia.com.ng/generic-yam-pounder-and-food-chopper-8lt-401670258.html,3
N/A,"₦ 7,990","₦ 35,000",N/A,3.9 out of 5,3.9 out of 5(15),https://www.jumia.com.ng/1.7-electric-kettle-jug-1700watts-ike17e1-itel-mpg3411939.html,3
N/A,"₦ 38,000",N/A,N/A,4.5 out of 5,4.5 out of 5(2),https://www.jumia.com.ng/generic-6ltr-yam-pounder-meat-grinder-fruits-nut-beans-blender-90712583.html,3
